Order ID,Order Date,Region,Product,Category,Channel,Salesperson,Units,Revenue,Unit Price,Discount Percent,Returned,Customer Note,Currency
ORD-2025-0001,2025-01-02,VIC,E-Bike X1,E-Bike,Showroom,Alex,1,2100,2100,0,Yes,,AUD
ORD-2025-0002,2025-01-05,QLD,Lock Secure,Accessory,Online,Morgan,2,150,75,0,No,Asked for assembly support; Thursday; Cairns,AUD
ORD-2025-0003,2025-01-08,WA,Helmet Pro,Accessory,Phone,Sam,3,428,150,5,No,Repeat customer order; after 5 pm; Toowoomba,AUD
ORD-2025-0004,2025-01-11,NSW,City Bike C2,Bike,Showroom,Jamie,4,3240,900,10,No,Purchased during showroom visit; Wednesday; Newcastle,AUD
ORD-2025-0005,2025-01-14,SA,City Bike C1,Bike,Online,Alex,5,3400,800,15,No,Delivery address confirmed; weekend; Footscray,AUD
ORD-2025-0006,2025-01-17,VIC,E-Bike X2,E-Bike,Phone,Morgan,6,13800,2300,0,No,No special request; Tuesday; Geelong,AUD
ORD-2025-0007,2025-01-20,QLD,E-Bike X1,E-Bike,Showroom,Sam,1,2100,2100,0,No,Helmet sizing discussed; Friday; Adelaide CBD,AUD
ORD-2025-0008,2025-01-23,WA,Lock Secure,Accessory,Online,Jamie,2,143,75,5,No,"Customer requested a call, before delivery; Monday; Ballarat",AUD
ORD-2025-0009,2025-02-02,NSW,Lock Secure,Accessory,Phone,Alex,3,203,75,10,No,Requested morning delivery; Thursday; South Brisbane,AUD
ORD-2025-0010,2025-02-05,SA,Helmet Pro,Accessory,Showroom,Morgan,4,510,150,15,Yes,Asked for assembly support; after 5 pm; Wollongong,AUD
ORD-2025-0011,2025-02-08,VIC,City Bike C2,Bike,Online,Sam,5,4500,900,0,No,Repeat customer order; Wednesday; Parramatta,AUD
ORD-2025-0012,2025-02-11,QLD,City Bike C1,Bike,Phone,Jamie,6,4800,800,0,No,Purchased during showroom visit; weekend; Fremantle,AUD
ORD-2025-0013,2025-02-14,WA,E-Bike X2,E-Bike,Showroom,Alex,1,2185,2300,5,No,Delivery address confirmed; Tuesday; Richmond,AUD
ORD-2025-0014,2025-02-17,NSW,E-Bike X1,E-Bike,Online,Morgan,2,3780,2100,10,No,,AUD
ORD-2025-0015,2025-02-20,SA,Lock Secure,Accessory,Phone,Sam,3,191,75,15,No,Helmet sizing discussed; Monday; Toowoomba,AUD
ORD-2025-0016,2025-02-23,VIC,Helmet Pro,Accessory,Showroom,Jamie,4,600,150,0,No,"Customer requested a call, before delivery; Thursday; Newcastle",AUD
ORD-2025-0017,2025-03-02,QLD,Helmet Pro,Accessory,Online,Alex,5,750,150,0,No,Requested morning delivery; after 5 pm; Footscray,AUD
ORD-2025-0018,2025-03-05,WA,City Bike C2,Bike,Phone,Morgan,6,5130,900,5,No,Asked for assembly support; Wednesday; Geelong,AUD
ORD-2025-0019,2025-03-08,NSW,City Bike C1,Bike,Showroom,Sam,1,720,800,10,Yes,Repeat customer order; weekend; Adelaide CBD,AUD
ORD-2025-0020,2025-03-11,SA,E-Bike X2,E-Bike,Online,,2,3910,2300,15,No,Purchased during showroom visit; Tuesday; Ballarat,AUD
ORD-2025-0021,2025-03-14,VIC,E-Bike X1,E-Bike,Phone,Alex,3,6300,2100,0,No,Delivery address confirmed; Friday; South Brisbane,AUD
ORD-2025-0022,2025-03-17,QLD,Lock Secure,Accessory,Showroom,Morgan,4,300,75,0,No,No special request; Monday; Wollongong,AUD
ORD-2025-0023,2025-03-20,WA,Helmet Pro,Accessory,Online,Sam,5,713,150,5,No,Helmet sizing discussed; Thursday; Parramatta,AUD
ORD-2025-0024,2025-03-23,NSW,City Bike C2,Bike,Phone,Jamie,6,4860,900,10,No,"Customer requested a call, before delivery; after 5 pm; Fremantle",AUD
ORD-2025-0025,2025-04-02,SA,City Bike C2,Bike,Showroom,Alex,1,765,900,15,No,Requested morning delivery; Wednesday; Richmond,AUD
ORD-2025-0026,2025-04-05,VIC,City Bike C1,Bike,Online,Morgan,2,1600,800,0,No,Asked for assembly support; weekend; Cairns,AUD
ORD-2025-0027,2025-04-08,QLD,E-Bike X2,E-Bike,Phone,Sam,3,6900,2300,0,No,,AUD
